10001275;A003;05/07/2019 07:04:00;05/07/2019 08:46:00
10001352;A003;09/07/2019 09:35:00;09/07/2019 11:02:00
10001474;A003;12/07/2019 07:09:00;12/07/2019 09:20:00
10001655;A003;18/07/2019 07:34:00;18/07/2019 10:02:00
10002763;A003;25/07/2019 09:01:00;25/07/2019 09:50:00
10003235;A003;27/07/2019 12:55:00;27/07/2019 13:29:00
10004144;A003;30/07/2019 17:40:00;30/07/2019 17:55:00
10005276;A003;04/08/2019 07:32:00;04/08/2019 07:47:00
10006763;A003;10/08/2019 16:02:00;10/08/2019 17:54:00
10007564;A007;02/07/2019 18:24:00;02/07/2019 20:47:00
10007843;A007;03/07/2019 07:43:00;03/07/2019 08:19:00
10008333;A007;06/07/2019 07:08:00;06/07/2019 08:21:00
10009480;A007;08/07/2019 07:18:00;08/07/2019 09:58:00
10009641;A007;11/07/2019 07:26:00;11/07/2019 10:12:00
10010170;A007;12/07/2019 07:08:00;12/07/2019 08:29:00
10010293;A007;16/07/2019 07:40:00;16/07/2019 10:13:00
10011148;A007;17/07/2019 15:29:00;17/07/2019 17:18:00
10011832;A007;18/07/2019 07:17:00;18/07/2019 08:01:00
10012810;A007;23/07/2019 07:13:00;23/07/2019 08:55:00
10013019;A007;26/07/2019 12:41:00;26/07/2019 15:55:00
10013486;A007;29/07/2019 07:59:00;29/07/2019 08:52:00
10013716;A007;03/08/2019 07:05:00;03/08/2019 09:13:00
10014276;A007;07/08/2019 07:33:00;07/08/2019 09:38:00
10014835;A009;04/07/2019 07:57:00;04/07/2019 10:57:00
10015316;A009;06/07/2019 11:39:00;06/07/2019 12:03:00
10015833;A009;10/07/2019 07:21:00;10/07/2019 09:29:00
10016798;A009;13/07/2019 07:11:00;13/07/2019 08:22:00
10017605;A009;14/07/2019 07:38:00;14/07/2019 08:27:00
10018488;A009;18/07/2019 15:28:00;18/07/2019 18:58:00
10019360;A009;21/07/2019 16:04:00;21/07/2019 19:14:00
10020381;A009;25/07/2019 07:20:00;25/07/2019 10:25:00
10021038;A009;25/07/2019 14:32:00;25/07/2019 16:39:00
10021207;A009;26/07/2019 11:27:00;26/07/2019 14:18:00
10021743;A009;26/07/2019 16:03:00;26/07/2019 16:46:00
10021970;A009;28/07/2019 07:59:00;28/07/2019 10:54:00
10022677;A009;31/07/2019 07:23:00;31/07/2019 09:56:00
10023034;A009;03/08/2019 07:46:00;03/08/2019 09:57:00
10024233;A009;04/08/2019 07:32:00;04/08/2019 08:31:00
10024514;A011;01/07/2019 08:44:00;01/07/2019 10:00:00
10024644;A011;04/07/2019 07:00:00;04/07/2019 07:29:00
10025297;A011;08/07/2019 16:36:00;08/07/2019 19:15:00
10025602;A011;13/07/2019 11:00:00;13/07/2019 14:33:00
10026410;A011;15/07/2019 18:01:00;15/07/2019 19:57:00
10026584;A011;19/07/2019 07:18:00;19/07/2019 10:13:00
10027248;A011;22/07/2019 15:29:00;22/07/2019 16:11:00
10028581;A011;26/07/2019 16:00:00;26/07/2019 17:32:00
10028728;A011;28/07/2019 16:19:00;28/07/2019 17:31:00
10029345;A011;29/07/2019 07:37:00;29/07/2019 08:51:00
10029617;A011;01/08/2019 13:37:00;01/08/2019 15:58:00
10030038;A011;03/08/2019 08:34:00;03/08/2019 10:26:00
10030116;A011;04/08/2019 07:05:00;04/08/2019 08:00:00
10030229;A012;02/07/2019 07:15:00;02/07/2019 10:06:00
10031486;A012;06/07/2019 09:41:00;06/07/2019 10:20:00
10031730;A012;07/07/2019 14:08:00;07/07/2019 14:28:00
10032815;A012;11/07/2019 17:47:00;11/07/2019 19:20:00
10033304;A012;14/07/2019 11:17:00;14/07/2019 13:41:00
10033767;A012;16/07/2019 07:14:00;16/07/2019 10:37:00
10034180;A012;17/07/2019 07:19:00;17/07/2019 10:15:00
10035472;A012;21/07/2019 07:12:00;21/07/2019 08:52:00
10036179;A012;22/07/2019 17:21:00;22/07/2019 18:48:00
10036400;A012;23/07/2019 07:53:00;23/07/2019 08:11:00
10036589;A012;25/07/2019 16:33:00;25/07/2019 18:47:00
10037119;A012;29/07/2019 16:12:00;29/07/2019 19:25:00
10038137;A012;02/08/2019 12:21:00;02/08/2019 14:22:00
10038410;A012;04/08/2019 11:57:00;04/08/2019 12:18:00
10039084;A015;05/07/2019 08:01:00;05/07/2019 08:29:00
10040128;A015;06/07/2019 07:12:00;06/07/2019 09:05:00
10040369;A015;08/07/2019 14:40:00;08/07/2019 16:44:00
10040686;A015;09/07/2019 07:54:00;09/07/2019 09:31:00
10040942;A015;14/07/2019 07:12:00;14/07/2019 08:37:00
10041759;A015;20/07/2019 11:51:00;20/07/2019 14:41:00
